ID,VerseID,Word,Meaning
1,"تك1 :2","الغمر","المياه الكثيرة"
2,"تك1 :6","جلد","المراد هنا سماء الطيور اى المجال الجوى الذى تطير فيه الطيور"
3,"تك1 :21","التنانين","لا يراد بها نوع معين من الحيوانات بل تشير الى الحيوانات الضخمة"
4,"تك2 :1","جندها","الشموس و الكواكب و الأجرام السماوية"
5,"تك2 :7","جبل","صاغ- شكل"
6,"تك2 :12","المقل","صمغ عطرى"
7,"تك2 :14","حداقل","نهر دجلة"
8,"تك2 :21","سباتا","نوما عميقا"
9,"تك4 :1","قايين","اسم عبرى معناه مكسب"
10,"تك4 :2","هابيل","اسم عبرى يعنى نسمة-نفخة"
11,"تك4 :7","رابضة","جاثمة-جالسة-مستلقية"
12,"تك4 :16","لدن","أمام-حضرة"
13,"تك4 :23","لشدخي","جرحى"
14,"تك5 :3","شيثا","اسم سامى معناه معين أو بديل"
15,"تك5 :6","انوش","اسم عبرى معناه رجل"
16,"تك5 :12","مهللئيل","اسم عبرى معناه حمد لله"
17,"تك5 :18","اخنوخ","اسم عبرى معناه مكرس"
18,"تك5 :21","متوشالح","اسم سامى معناه رجل السهام"
19,"تك6 :15","ذراع","وحدة قياس=45.75 سم"
20,"تك6 :16","كوا","جمع كوة طاقة صغيرة-نافذة"
21,"تك8 :6","طاقة","نافذة"
22,"تك9 :13","قوسي","المراد قوس قزح"
23,"تك9 :20","كرما","الكرم = شجر العنب"
24,"تك9 :21","خبائه","خيمته"
25,"تك10 :19","تخوم","حدود"
26,"تك11 :3","لبنا","الطوب المصنوع من الطين"
27,"تك11 :7","نبلبل","نشوش"
28,"تك12 :6","بلوطة","شجر السنديان"
29,"تك12 :16","اماء","جمع أمة = جارية - خادمة - عبدة"
30,"تك14 :3","السديم","وادى يقع فى منطقة البحر الميت"
31,"تك14 :6","بطمة","شجرة تعمر سنين عديدة"
32,"تك14 :13","ممرا","امير امورى قطع عهدا مع ابراهيم"
33,"تك14 :14","غلمانه","الغلام = الخادم - الفتى - العبد"
34,"تك14 :18","شاليم","المراد أورشليم"
35,"تك14 :23","شراك","شريط من الجلد يربط به الصندل"
36,"تك15 :2","عقيما","الذى لا ينجب أو يلد"
